artist,song
Lil Baby,Up The Side
SZA,Tread Carefully
A$AP Rocky,Lost and Found Freestyle 2019
Tory Lanez,Forever
Lauv,Invisible Things
Smokepurpp,What I Please
Trippie Redd,Wicked
Kendrick Lamar,For Sale?
Doja Cat,Celebrity Skin
French Montana,Slide
Dreamville,Swivel
Miley Cyrus,Heart Of Glass (Live from the iHeart Festival)
Playboi Carti,New Tank
Porter Robinson,Everything Goes On
Trippie Redd,Ainât Safe
2 Chainz,OG Kush Diet
Maggie Rogers,Love You For A Long Time
Brent Faiyaz,MERCEDES
Dreamville,1993
Sugarland,Babe
Twenty One Pilots,Legend
Juice WRLD,Eminem Speaks
Machine Gun Kelly,god save me
Luke Combs,The Other Guy
Future,4 da Gang
YoungBoy Never Broke Again,All In
Lady Gaga,Chromatica I
Gunna,you & me
Jung Kook,Stay Alive (Prod. SUGA of BTS)
Linkin Park,What I've Done
Thomas Rhett,Leave Right Now
Lil Skies,Name in the Sand
Bad Bunny,BAD CON NICKY
Machine Gun Kelly,die in california
Future,Touch The Sky
The Chainsmokers,Push My Luck
Eminem,Black Magic
Future,One Of My
80purppp,Hex
BROCKHAMPTON,J'OUVERT
TAEYANG,VIBE
Shakira,Hips Don't Lie
NF,Change
Nigo,Arya
Chance the Rapper,Let's Go On The Run
Rich The Kid,4 Phones
Machine Gun Kelly,born with horns
YoungBoy Never Broke Again,Home Ain't Home
Halsey,I HATE EVERYBODY
Drake,Club Paradise
Megan Thee Stallion,Do It On The Tip
Lil Yachty,drive ME crazy!
Don Toliver,Euphoria
Gunna,NASTY GIRL / ON CAMERA
Jay Rock,Wow Freestyle
Dreamville,Don't Hit Me Right Now
ILLENIUM,In Your Arms
Glass Animals,I Don't Wanna Talk (I Just Wanna Dance)
BTS,Paradise
Moneybagg Yo,On Wat U On
Journey,Separate Ways (Worlds Apart)
Tame Impala,On Track
Harry Styles,Only Angel
Jessie Murph,Always Been You
Kacey Musgraves,good wife
Jidenna,Classic Man
Ed Sheeran,2step
Eslabon Armado,Dame Tu Calor
Wiz Khalifa,420 Freestyle
Lil Wayne,Know You Know (ft. 2 Chainz)
Meek Mill,Believe
Isabel LaRosa,i'm yours
Yandel,CANCIÃN CON YANDEL
Banda MS de Sergio LizÃ¡rraga,QuÃ© MaldiciÃ³n
CORPSE,POLTERGEIST!
YoungBoy Never Broke Again,On My Side
Future,Ain't Livin Right
A$AP Rocky,Jukebox Joints
Playboi Carti,Control
Childish Gambino,Have Some Love
Kane Brown,One Mississippi
Kendrick Lamar,Momma
Future,Please Tell Me
Jack Harlow,I WANNA SEE SOME ASS
Gucci Mane,Kept Back
Sam Smith,"Baby, You Make Me Crazy"
Vince Staples,ARE YOU WITH THAT?
Shawn Mendes,Fallin' All In You
Fuerza Regida,Billete Grande (En Vivo)
John Mayer,Carry Me Away
Kendrick Lamar,"Bitch, Donât Kill My Vibe"
BROCKHAMPTON,BANKROLL
TOOL,Invincible
Gunna,too easy (Remix)
Polo G,First Place
Conan Gray,Disaster
The 1975,Give Yourself A Try
Polo G,33
Ed Sheeran,First Times
Meek Mill,Letter To Nipsey
Nicki Minaj,Itty Bitty Piggy
J Balvin,UN PESO
Lil Peep,Benz Truck
Kay Flock,Shake It
SiR,Hair Down
Melanie Martinez,Wheels on the Bus
G-Eazy,Of All Things
John Mayer,Wildfire
Eminem,Alfred
6LACK,Loaded Gun
Eminem,Framed
Lil Tecca,Bossanova
Icona Pop,Emergency
XXXTENTACION,HEARTEATER
Diplo,Color Blind
Rich The Kid,Stuck Together
ScHoolboy Q,Gang Gang
The Kid LAROI,MAYBE
The Kid LAROI,FEEL SOMETHING
Young Money,Trophies
Major Lazer,Que Calor
Joji,CAN'T GET OVER YOU
Rich The Kid,No Question
Calvin Harris,By Your Side
Nicki Minaj,Thought I Knew You
Lovejoy,One Day
21 Savage,Spiral
Pop Smoke,Brush Em
fun.,Some Nights
Kehlani,F&MU
The Kid LAROI,OVER YOU
Vigiland,Shots & Squats
A$AP Rocky,Holy Ghost
Roddy Ricch,Aston Martin Truck
Jonas Brothers,Happy When I'm Sad
Becky G,Lovin' So Hard
Lil Baby,How It Feels
blackbear,u love u
Childish Gambino,Les
B.o.B,HeadBand
Sam Hunt,23
Future,Too Comfortable
Twenty One Pilots,The Outside
Rich Brian,Attention
Big Sean,Harder Than My Demons
Logic,Wannabe
Lana Del Rey,White Dress
JhayCo,CÃMO SE SIENTE
Migos,Out Yo Way
Chris Brown,Love More
Kinneret,No Wind Resistance!
BTS,Anpanman
Niall Horan,Black And White
EST Gee,Backstage Passes
Lauv,Who
Lana Del Rey,The greatest
Selena Gomez,Cut You Off
Big Sean,Who's Stopping Me (& Metro Boomin)
Lorde,The Path
Young Stoner Life,Paid the Fine
Dreamville,Got Me
BTS,Love Maze
Drake,Draft Day
MUNA,Winterbreak
Desiigner,Priice Tag
Eminem,Bad Guy
DJ Durel,Hot Summer
Migos,Made Men
Future,Posted With Demons
Isaiah Rashad,RIP Young
Lil Nas X,Rodeo
YoungBoy Never Broke Again,Nevada
Lauv,Tattoos Together
Marshmello,You Can Cry
Juice WRLD,Juice WRLD Speaks 2
Future,Faceshot
Lil Tecca,Faster
Camila Cabello,Into It
Dua Lipa,Future Nostalgia
TiÃ«sto,Ritual
G-Eazy,West Coast
Ed Sheeran,2step
benny blanco,Better To Lie
Jonas Brothers,Trust
YoungBoy Never Broke Again,Put It On Me
Lil Mosey,G Walk
Meek Mill,Otherside Of America
Rauw Alejandro,PUNTO 40
Lil Baby,My Jeans (Lil Baby & Gunna feat. Young Thug)
Don Toliver,5X
Megan Thee Stallion,Eat It
Lorde,Hard Feelings/Loveless
Panic! At The Disco,The Overpass
A Boogie Wit da Hoodie,Cinderella Story
NLE Choppa,100 Shots
Eurythmics,Sweet Dreams (Are Made of This)
Rod Wave,Break My Heart
Gunna,flooded
Ozuna,Unica
Rae Sremmurd,Buckets
Selena Gomez,Sober
Lil Skies,Blue Strips
Likybo,Kraazy
Jaden,GHOST
Selena Gomez,Let Me Get Me
Busta Rhymes,Look Over Your Shoulder
Lana Del Rey,How to disappear
The Backyardigans,Castaways
YoungBoy Never Broke Again,Head On
Camila Cabello,All These Years
Halsey,clementine
BTS,Respect
Dreamville,Sacrifices
BLACKPINK,Yeah Yeah Yeah
Bo Burnham,Content
Migos,Birthday
Tate McRae,what would you do?
Young Stoner Life,Slatty
21 Savage,Emergency
Jeremy Zucker,not ur friend
Eminem,Castle
Bad Bunny,MÃS DE UNA CITA
Polo G,Bag Talk
Future,Call the Coroner
Ski Mask The Slump God,Adults Swim
Drake,Come Thru
"Tyler, The Creator",Foreword
Summer Walker,Circus
Luke Combs,"1, 2 Many"
Future,XanaX Damage
Logic,Street Dreams II
Tate McRae,don't come back
Big Sean,Inspire Me
Ski Mask The Slump God,Reborn To Rebel
Kacey Musgraves,star-crossed
YoungBoy Never Broke Again,Life Support
Joji,NO FUN
Panic! At The Disco,Golden Days
Justin Bieber,MLK Interlude
John Mayer,Wild Blue
The 1975,Oh Caroline
Childish Gambino,Zombies
Bad Bunny,Estamos Bien
Harry Styles,From the Dining Table
BROCKHAMPTON,SUGAR (Remix)
Logic,Out Of Sight
JID,Raydar
Twenty One Pilots,Good Day
NAV,Dead Shot
Kacey Musgraves,Rainbow
Panic! At The Disco,"The Good, The Bad And The Dirty"
BTS,134340
NAV,One Time
Bo Burnham,That Funny Feeling
jxdn,Angels & Demons
Panic! At The Disco,Old Fashioned
Gunna,MOTW
Kenny Loggins,Danger Zone
Morgan Wallen,Heartless
John Mayer,Shouldn't Matter but It Does
J Balvin,CUIDAO POR AHÃ
Jack Harlow,State Fair
James Arthur,Rewrite The Stars
Future,All da Smoke
Kacey Musgraves,cherry blossom
Tory Lanez,Beauty In The Benz
Thomas Rhett,Center Point Road
Luke Combs,All Over Again
Gunna,Richard Millie Plain
Lil Tjay,Losses
SZA,Doves In The Wind
Machine Gun Kelly,more than life
Lil Wayne,Bing James (ft. Jay Rock)
Machine Gun Kelly,5150
Lana Del Rey,California
Drake,Pop Style
Rae Sremmurd,Bedtime Stories
Logic,5 Hooks
Polo G,I Know
Calvin Harris,Faking It
Big Sean,Overtime
Luke Combs,Blue Collar Boys
Polo G,Zooted Freestyle
A$AP Rocky,Kids Turned Out Fine
Muse,Madness
Drake,Girls Love BeyoncÃ©
Ski Mask The Slump God,ADMIT IT
NF,My Stress
Rich The Kid,Early Morning Trappin
ScHoolboy Q,Lies
Juice WRLD,Rider
Lil Yachty,OOPS
Bryson Tiller,Inhale
6LACK,Unfair
Sadie Jean,WYD Now?
Jonathan Groff,Lost in the Woods
Lil Baby,Anyway
Megan Thee Stallion,Budget
Chance the Rapper,Wala Cam
Calvin Harris,Obsessed
Travis Scott,through the late night
Daniel Caesar,SUPERPOSITION
BTS,Magic Shop
Joyner Lucas,Dreams Unfold
Dr. Dre,"Nuthin' But A ""G"" Thang"
Red Hot Chili Peppers,Black Summer
Luke Combs,Nothing Like You
Offset,CODE
Migos,Work Hard
BTS,Intro: Singularity
A$AP Rocky,Fine Whine
Lil Tecca,"Left, Right"
The Lumineers,WHERE WE ARE
Robin Schulz,Sun Goes Down
Run The Jewels,JU$T
Trippie Redd,Supernatural
Lorde,The Love Club
Machine Gun Kelly,jawbreaker
Gucci Mane,Big Booty
Future,Unicorn Purp
Lil Skies,Real Ties
Lil Tecca,Show Me Up
Lil Baby,Social Distancing
Tory Lanez,Pieces
BLACKPINK,DDU-DU DDU-DU
Kygo,Forever Yours
Fujii Kaze,æ­»ã¬ã®ãããã
Megan Thee Stallion,Ungrateful
Machine Gun Kelly,play this when i'm gone
Louis The Child,Little Things
Justin Bieber,Yummy
Pusha T,Brambleton
Polo G,Fame & Riches
Dreamville,Sleep Deprived
Trippie Redd,Immortal
Miley Cyrus,WTF Do I Know
Migos,Light It Up
Eslabon Armado,DOS MORRITAS
Megan Thee Stallion,Freaky Girls
Melanie Martinez,Nurse's Office
Future,No Issue
Rick James,Super Freak
BLACKPINK,The Happiest Girl
Morgan Wallen,Whatcha Think Of Country Now
Lewis Capaldi,Forget Me
Luke Combs,Cold As You
Sam Hunt,2016
Imagine Dragons,Wrecked
Ingrid Andress,Wishful Drinking
Future,Bought A Bad Bitch
Calvin Harris,Cash Out
Trippie Redd,UKA UKA
Quality Control,Double Trouble (Quavo feat. Meek Mill)
Lil Tecca,When You Down
Playboi Carti,Poke It Out
Wale,Poke It Out
YoungBoy Never Broke Again,Vette Motors
Summer Walker,Something Real
Twenty One Pilots,Heavydirtysoul
Tory Lanez,TAlk tO Me
iann dior,shots in the dark
Lil Baby,Shiest Talk
Halsey,Forever ... (is a long time)
BTS,For Youth
Lady Gaga,1000 Doves
6LACK,Let Her Go
YG,POWER
Lucky Daye,Over
YFN Lucci,Key to the Streets
NAV,Saint Laurenttt
DaBaby,AMAZING GRACE
Brent Faiyaz,BAD LUCK
Fivio Foreign,Changed On Me
Selena Gomez,Kinda Crazy
Juice WRLD,Wonât Let Go
Lil Wayne,Trust Nobody (ft. Adam Levine)
Lil Baby,Waterfall Flow
YoungBoy Never Broke Again,Thug Of Spades
DaBaby,Turbo
BLACKPINK,You Never Know
Twenty One Pilots,Leave The City
Trippie Redd,Til The End of Time
"Tyler, The Creator",Pothole
Janelle MonÃ¡e,Make Me Feel
Jack & Jack,Like That
Omah Lay,Attention
Lil Baby,Double Down
DJ Khaled,SORRY NOT SORRY
Autumn!,One Way!
6LACK,Nonchalant
mazie,dumb dumb
Summer Walker,Switch A Nigga Out
Migos,Deadz
Don Toliver,Drugs N Hella Melodies
Future,WHEN I THINK ABOUT IT
NAV,Status
Pentatonix,That's Christmas to Me
A$AP Rocky,Hun43rd
Lana Del Rey,Dealer
Lil Mosey,Live This Wild
Don Toliver,Way Bigger
Polo G,Don't Believe The Hype
Dreamville,Rembrandt...Run It Back
Lizzo,Soulmate
Kodak Black,Pimpin Ain't Eazy
Romeo Santos,Sin Fin
Migos,All Ass
Quavo,GIVE IT TO EM
Pooh Shiesty,Switch it Up
YoungBoy Never Broke Again,Lonely Child
Lil Nas X,Bring U Down
Will Paquin,Chandelier
Offset,Tats On My Face
$uicideboy$,$uicideboy$ Were Better In 2015
Kehlani,Feels
Young Thug,I'm Scared
BTS,Born Singer
Rex Orange County,Face To Face
Lorde,California
"Grover Washington, Jr.",Just the Two of Us
Vampire Weekend,Harmony Hall
Kodak Black,Zombie
SleazyWorld Go,Sleazy Flow
Logic,Heard Em Say
DJ Khaled,NO SECRET
The 1975,Love It If We Made It
YoungBoy Never Broke Again,Bad Morning
Juice WRLD,Lucid Dreams
Eminem,In Your Head
The Kid LAROI,PIKACHU
Yeat,Big tonka
Gunna,Style Stealer (Lil Baby & Gunna)
Juice WRLD,Juice WRLD Speaks
Sam Smith,Writing's On The Wall
Kevin Gates,By My Lonely
NAV,My Business
NAV,Run It Up
Belly,What You Want
Moneybagg Yo,Blow
Childish Gambino,Boogieman
Moneybagg Yo,Hard For The Next
YoungBoy Never Broke Again,Drug Addiction
DJ Khaled,Freak N You
Twenty One Pilots,Mulberry Street
The 1975,It's Not Living (If It's Not With You)
Mumford & Sons,Tompkins Square Park
Nicki Minaj,Good Form
Dierks Bentley,Beers On Me
ScHoolboy Q,Drunk
Machine Gun Kelly,mainstream sellout
21 Savage,Baby Girl
A Boogie Wit da Hoodie,DTB 4 Life
Kendrick Lamar,Complexion (A Zulu Love)
Machine Gun Kelly,twin flame
Lil Baby,Everything
The Longest Johns,Wellerman
Justin Bieber,Red Eye
iann dior,let you
Future,Three
DaBaby,NO DRIBBLE
Logic,Young Jesus
Luke Bryan,Crash My Party
Childish Gambino,Terrified
Eminem,Arose
Taylor Swift,Getaway Car
Swae Lee,Reality Check
Trippie Redd,Gore
Bryson Tiller,Things Change
Playboi Carti,Right Now
Chance the Rapper,Cocoa Butter Kisses
Eminem,Revival (Interlude)
Young Thug,Cruise Ship
Summer Walker,4th Baby Mama
A$AP Rocky,Brotha Man
Imagine Dragons,Walking The Wire
dvsn,I Believed It
Polo G,Unapologetic
Lil Peep,16 Lines
Logic,"The Adventures Of Stoney Bob (ft. Kajo, Slaydro, Big Lenbo)"
Logic,Pardon My Ego
Trippie Redd,U Deserve It
Baby Keem,issues
J Balvin,Morado
Bryson Tiller,Sorrows
Lil Uzi Vert,Space Cadet
Trippie Redd,So Alive
Rae Sremmurd,T'd Up
Eminem,Heat
Lil Peep,Awful Things
iann dior,Sick and Tired (ft. Machine Gun Kelly and Travis Barker)
Nicki Minaj,Hard White
5 Seconds of Summer,Valentine
Pusha T,Let The Smokers Shine The Coupes
Drake,I Get Lonely
Future,Stick to the Models
Lil Yachty,SELF MADE
Nas,White Label
Ozuna,Me Dijeron
Nas,everything
J Balvin,ODIO
21 Savage,Thug Life
NF,Only
Polo G,Losses
Quality Control,My Dawg
Keith Urban,One Too Many
Melanie Martinez,Lunchbox Friends
Lil Tjay,Move On
Logic,Limitless
Billy Currington,It Don't Hurt Like It Used To
Calvin Harris,New Money
Migos,Big On Big
Mac Miller,Colors and Shapes
Childish Gambino,12.38
Fifth Harmony,He Like That
Offset,Father Of 4
A$AP Rocky,M'$
NAV,To My Grave
Ozuna,Ibiza
G Herbo,Who Run It (Remix) [Feat. Lil Uzi Vert]
Trippie Redd,Be Yourself
Meek Mill,Stay Woke
Calvin Harris,Nuh Ready Nuh Ready
The 1975,Tonight (I Wish I Was Your Boy)
YoungBoy Never Broke Again,I Am Who They Say I Am
Rod Wave,Stone Rolling
Trippie Redd,PILL BREAKER
Future,Rockstar Chainz
Lil Wayne,Clap For Em
Lil Pump,Back
"Tyler, The Creator",Garden Shed
David Kushner,Miserable Man
Dustin Lynch,Mind Reader
Anne-Marie,Birthday
Ozuna,Aura
Gunna,GIMMICK
Kehlani,Everybody Business
Bo Burnham,Comedy
Chris Brown,Go Crazy (Remix)
Maroon 5,Lost
Luke Combs,Dear Today
Bryson Tiller,I'm Ready For You
Bad Bunny,200 Mph
Lil Baby,Seals Pills (Lil Baby & Gunna)
Lil Baby,Still Hood
Summer Walker,Closure
$uicideboy$,"No Matter Which Direction I'm Going In, I Never Chase These Hoes"
BLACKPINK,Tally
Koe Wetzel,Cabo
Mac Miller,So It Goes
Tom Petty and the Heartbreakers,American Girl
Bad Bunny,SI ELLA SALE
Cordae,Today
Melanie Martinez,The Principal
Logic,Dark Place
Joji,ATTENTION
Lana Del Rey,Happiness is a butterfly
Lil Durk,Stay Down
Luke Combs,New Every Day
The Citizens of Halloween,This Is Halloween
Conan Gray,Telepath
Eminem,Need Me
Mac Miller,Small Worlds
Lorde,Writer In The Dark
Yeat,3G
Dreamville,"Ladies, Ladies, Ladies"
Lewis Capaldi,when the party's over
Gunna,Derek Fisher
Jeezy,American Dream
Kanye West,Blood On The Leaves
Rex Orange County,AMAZING
ScHoolboy Q,Tales
NAV,Minute
Don Toliver,XSCAPE
Coldplay,Everglow
Roddy Ricch,Stop Breathing
Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N
Kehlani,Water
Logic,Like Woah
ScHoolboy Q,Water
Morgan Wallen,Need A Boat
TOOL,7empest
Justin Timberlake,Midnight Summer Jam
Young Thug,Boy Back
Tame Impala,It Might Be Time
YoungBoy Never Broke Again,Slime Mentality
Chance the Rapper,Get A Bag
Sam Fischer,What Other People Say
Nas,Adam and Eve
Steve Lacy,Buttons
NLE Choppa,Push It
J Balvin,COMO UN BEBÃ
Justin Bieber,Lifetime
Daft Punk,The Game of Love
NewJeans,Attention
Gunna,Yao Ming
Solange,Stay Flo
YoungBoy Never Broke Again,One Shot
Diplo,Heartless
Mac Miller,"I Love Life, Thank You"
The Notorious B.I.G.,Hypnotize
Drake,Jodeci Freestyle
Lil Wayne,Stop Playin With Me
Stray Kids,MANIAC
Quavo,SHINE
NF,TRUST
Giveon,LIKE I WANT YOU
Mustard,On GOD
Offset,North Star
Ty Dolla $ign,By Yourself
Rihanna,James Joint
NAV,Recap
Chance the Rapper,5 Year Plan
YoungBoy Never Broke Again,Fish Scale
Jessie Ware,Say You Love Me
Shawn Mendes,Why
Juicy J,Neighbor
Dua Lipa,Good In Bed
Shawn Mendes,Particular Taste
Kygo,What's Love Got to Do with It
Slipknot,Unsainted
Young Thug,Day Before
Future,She Never Been To Pluto
Moneybagg Yo,Wockesha
David Guetta,Thing For You (With Martin Solveig)
Alesso,Chasing Stars
Summer Walker,My Affection
Rex Orange County,KEEP IT UP
Summer Walker,Body
Gucci Mane,ICE
Lil Skies,Ok 4 Now
NAV,No Debate
Jason Mraz,I'm Yours
AJR,3 O'Clock Things
Twenty One Pilots,Fairly Local
fun.,Carry On
NF,Nate
Kane Brown,Good as You
Luke Combs,Every Little Bit Helps
Justin Timberlake,Morning Light
Camila Cabello,Consequences
Mac Miller,Jet Fuel
Imagine Dragons,Next To Me
Thomas Rhett,Country Again
The Carters,BOSS
Jonas Brothers,Year 3000
JID,Off Deez
Kygo,Undeniable
Lil Tjay,One Take
AminÃ©,Compensating
Chris Brown,Anyway
Hoodie Allen,All About It
Logic,Cocaine
Huncho Jack,Best Man
Swae Lee,Hurt To Look
Sam Hunt,Hard To Forget
Wale,My Boy
Taylor Swift,This Is Why We Canât Have Nice Things
Sam Smith,Palace
Tori Kelly,I Was Made For Loving You
Stevie Wonder,Superstition
Lorde,Secrets from a Girl (Who's Seen it All)
Rex Orange County,Pluto Projector
Rick Ross,Running the Streets
Big Sean,Lucky Me
Lorde,Sober II (Melodrama)
French Montana,Wiggle It
Future,Fly Shit Only
Future,Outta Time
Quavo,To The Bone
Rae Sremmurd,Chanel
Lana Del Rey,Cherry
Melanie Martinez,Class Fight
BTS,So What
Shawn Mendes,Life Of The Party
NF,Returns
Trippie Redd,All For Me
Kristen Bell,Some Things Never Change
Rod Wave,Already Won
Nas,Rare
Charli XCX,Good Ones
Halsey,The Tradition
Shawn Mendes,Because I Had You
Polo G,Wishing For A Hero
Lil Yachty,Flex Up
Miley Cyrus,Gimme What I Want
BROCKHAMPTON,IF YOU PRAY RIGHT
A$AP Rocky,Sandman
Chase Atlantic,Swim
"Tyler, The Creator",Droppin' Seeds
Migos,Roadrunner
YoungBoy Never Broke Again,Diamond Teeth Samurai
Drakeo the Ruler,Talk To Me
GASHI,Creep On Me
Daft Punk,Giorgio by Moroder
Thomas Rhett,Slow Down Summer
Wiz Khalifa,Letterman
Lana Del Rey,Groupie Love
Quality Control,Intro
j-hope,Arson
Lil Baby,Man of my Word
Trippie Redd,Sickening
BROCKHAMPTON,ST. PERCY
Leon Bridges,Inside Friend
Rap Nation,Star Shopping
Gunna,Cash War
Miley Cyrus,Night Crawling
Imagine Dragons,I Donât Know Why
Jessie Murph,Pray
Bad Bunny,BENDICIONES
Lizzo,Grrrls
Jeremy Zucker,you were good to me
Migos,Top Down On Da NAWF
YNW Melly,Thugged Out
Jaden,Breakfast
42 Dugg,Maybach
Ed Sheeran,Tides
BeyoncÃ©,6 Inch
Moneybagg Yo,Switches & Dracs
Quavo,CHAMPAGNE ROSÃ
Pop Smoke,Whatâs Crackin
Trippie Redd,Vibes
H.E.R.,Could've Been
Tyga,Bop
One Direction,Fireproof
Lil Tecca,MONEY ON ME
blackbear,queen of broken hearts
Joshua Bassett,Lie Lie Lie
Pusha T,Diet Coke
DMX,Slippin'
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)"
NF,THAT'S A JOKE
Etta James,O Holy Night
Surfaces,Wave of You
Brittany Howard,Stay High
K/DA,MORE
Andy Grammer,Don't Give Up On Me
Mike WiLL Made-It,The Mantra
6LACK,Sorry
Why Don't We,Big Plans
Lana Del Rey,13 Beaches
Kanye West,I Am A God
Tee Grizzley,Young Grizzley World
Rauw Alejandro,2/Catorce
J Balvin,Una Nota
Dreamville,Self Love
$uicideboy$,Ashes of Luxury
Future,Scrape
Kendrick Lamar,You Ain't Gotta Lie (Momma Said)
Future,Photo Copied
Lil Yachty,COUNT ME IN
Lil Yachty,MICKEY
Trippie Redd,Throw It Away
Gunna,FEIGNING
Sabrina Carpenter,because i liked a boy
Toby Keith,"Courtesy Of The Red, White And Blue (The Angry American)"
Sam Smith,The Thrill Of It All
Chance the Rapper,Sun Come Down
NAV,Taking Chances
Summer Walker,Drunk Dialing...LODT
Logic,A2Z
Migos,What You See
The Lumineers,BRIGHTSIDE
Kygo,Freedom
Big Sean,Body Language
Metro Boomin,Blue Pill
Sam Smith,Scars
Lil Baby,Okay
Future,Talk Shit Like a Preacher
21 Savage,Secret
Bryson Tiller,Blowing Smoke
Eagles,Take It Easy
Polo G,For the Love of New York
NF,DRIFTING
Sueco,Loser
$uicideboy$,"If Self-Destruction Was an Olympic Event, Iâd Be Tonya Harding"
Taylor Swift,New Yearâs Day
Arctic Monkeys,Four Out Of Five
Bryson Tiller,Get Mine
Fleetwood Mac,Landslide
Juice WRLD,Sheâs The One
Hozier,Nina Cried Power
The 1975,If Youâre Too Shy (Let Me Know)
Childish Gambino,Algorhythm
Megan Thee Stallion,Whatâs New
Roddy Ricch,Out Tha Mud
Tritonal,Untouchable
Miguel,Come Through and Chill
YoungBoy Never Broke Again,In Control
alt-J,Every Other Freckle
Kane Brown,Cool Again
The Kid LAROI,Fade Away
Mason Ramsey,Before I Knew It
Trippie Redd,How You Feel
XXXTENTACION,Introduction (instructions)
"Tyler, The Creator",Sometimes...
Trippie Redd,Lil Wayne
Justin Timberlake,Higher Higher
Future,Damage
Zedd,Funny
Big Sean,Savage Time (& Metro Boomin)
5 Seconds of Summer,Hey Everybody!
Lizzo,Boys
The Kid LAROI,NOT FAIR
Eagles,Hotel California
Denzel Curry,RICKY
Dierks Bentley,Say You Do
Migos,One Time
Marshmello,Proud
Trippie Redd,I Try
Gucci Mane,Enormous
Halsey,Bells in Santa Fe
Quinn XCII,Stay Next To Me
Nicki Minaj,Pills N Potions
Joji,Reanimator
Mother Mother,Hayloft II
Anderson .Paak,Make It Better
Sech,Te Acuerdas
Chris Brown,Fine By Me
Miley Cyrus,The Most
Young Thug,Circle of Bosses
Imagine Dragons,Machine
Morgan Wallen,Bandaid On A Bullet Hole
$uicideboy$,Life Is but a Stream~
Kris Wu,Deserve
Taylor Swift,Dress
Miley Cyrus,Party Up The Street
Mike Dimes,HOME
Russ,Seduce
Jay Rock,WIN
Future,Up the River
Russell Dickerson,Blue Tacoma
Rich The Kid,Mo Paper
Daniel Caesar,CYANIDE
Chase Rice,Lonely If You Are
Tyga,Goddamn
Vince Staples,Big Fish
Kygo,Love Me Now
Rod Wave,SoulFly
Lennon Stella,Summer Feelings
Trippie Redd,Oomps Revenge
Future,Drip on Me
Isaiah Rashad,Wat U Sed
Young Thug,Jumped Out the Window
Bing Crosby,Winter Wonderland
Quinn XCII,Coffee
Logic,Vaccine
iann dior,Holding On
Kehlani,Bad News
Lil Peep,Leanin'
Jonas Blue,What I Like About You
Selena Gomez,De Una Vez
Trippie Redd,Me Likey
Kelsea Ballerini,homecoming queen?
Mumford & Sons,Wilder Mind
Gunna,ADDYS
blackbear,1 SIDED LOVE
DJ Scheme,Buck 50
A$AP Rocky,Wild for the Night
Blueface,Bussin
$ilkMoney,My Potna Dem
YG,SLAY
Lorde,Fallen Fruit
DJ Khaled,On Everything
Florida Georgia Line,I Love My Country
Lana Del Rey,West Coast
K/DA,THE BADDEST
Little Big Town,"Wine, Beer, Whiskey"
Shawn Mendes,Mutual
Joyner Lucas,Devil's Work
Brett Young,Mercy
Anderson .Paak,6 Summers
Khalid,Eleven
Diplo,Dance with Me
Sia,Reaper
Baby Keem,cocoa
Twenty One Pilots,Never Take It
Linkin Park,One Step Closer
Doja Cat,Rules
Aventura,Inmortal
Pop Smoke,Mr. Jones
Kacey Musgraves,camera roll
Migos,Taco Tuesday
Logic,Legacy
A Boogie Wit da Hoodie,Vroom Vroom
Hotboii,Nobody Special
Future,200
John Mayer,Moving On and Getting Over
Young M.A,BIG
Thomas Rhett,Whatâs Your Country Song
Gryffin,OMG
Taylor Swift,King Of My Heart
DJ Luke Nasty,Might Be
Fall Out Boy,Young And Menace
YoungBoy Never Broke Again,Rich As Hell
ScHoolboy Q,Die Wit Em
NF,LAYERS
John Mayer,Why You No Love Me
Jason Derulo,Lifestyle
Linkin Park,One More Light
Lil Uzi Vert,Lullaby
Miguel,Pineapple Skies
Jay Rock,Tap Out
iann dior,Pretty Girls
G-Eazy,Breakdown
Quality Control,100 Racks (Offset feat. Playboi Carti)
Drake,Paris Morton Music
The Kid LAROI,Addison Rae
Kid Cudi,Leader Of The Delinquents
Alesso,When Iâm Gone
Tyga,Legendary
Lana Del Rey,Chemtrails Over The Country Club
Anuel AA,Antes
Wale,Routine
A$AP Rocky,Changes
JAY-Z,Numb / Encore
Future,PIE
Anuel AA,Que Se Joda
Nio Garcia,La Jeepeta
Kelsea Ballerini,Better Luck Next Time
Panic! At The Disco,The Greatest Show
$uicideboy$,5 Grand at 8 to 1
NAV,Freshman List
Meek Mill,Bad for You
Ty Dolla $ign,Don't Judge Me
Luh Kel,Wrong
Justin Timberlake,Sauce
YoungBoy Never Broke Again,Bring The Hook
YG,TOO COCKY
Internet Money,Lost Me
John Mayer,Til the Right One Comes
Florida Georgia Line,Get Your Shine On
DRAM,Ill Nana
Playboi Carti,Long Time
Mac Miller,Programs
Childish Gambino,Baby Boy
G-Eazy,Provide
JAY-Z,F.U.T.W.
Lady Gaga,Look What I Found
Dan + Shay,Steal My Love
Summer Walker,Session 33
Cordae,Kung Fu
Lil Eazzyy,Onna Come Up
R. Kelly,Ignition (Remix)
Future,I Donât Wanna Break Up
NAV,Glow Up
Bruno Mars,Chunky
Kaash Paige,Love Songs
Gucci Mane,Richer Than Errybody
Lupe Fiasco,Battle Scars
Summer Walker,Dat Right There
Playboi Carti,Foreign
Miranda Lambert,Bluebird
